"Latitude (decimal degrees):	30.061",,,,,,,,
"Longitude (decimal degrees):	76.760",,,,,,,,
"Elevation (m):	256",,,,,,,,
"Radiation database:	PVGIS-ERA5",,,,,,,,
,,,,,,,,
,,,,,,,,
Slope: 29 deg. ,,,,,,,,
Azimuth: 0 deg. ,,,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	5.0",,,,,,,,
"System losses (%):	14.0",,,,,,,,
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190525:0530,3302.75,713,156.04,11.48,69.86,33.2,5.03,0
20190525:0630,3248.35,693.77,165.86,11.25,79.85,34.67,5.1,0
20190525:0730,3345.65,724.02,163.54,11.64,77.16,35.55,5.72,0
20190525:0830,3079.8,665.2,147.18,10.8,65.7,36.23,6.14,0
20190525:0930,2508.4,504.77,152.54,8.99,52.93,36.44,6.34,0
20190525:1030,1692.35,325.32,122.71,6.48,39.96,36.29,6.28,0
20190525:1130,943.8,180.5,92.09,4.47,27.06,35.72,6,0
20190525:1230,196.3,32.65,51.48,1.97,14.42,35.04,5.66,0
20190525:1330,15.85,0,13.2,0.18,2.19,33.85,4.21,0
20190525:1430,0,0,0,0,0,31.68,3.17,0
20190525:1530,0,0,0,0,0,30.1,2.97,0
20190525:1630,0,0,0,0,0,28.86,2.83,0
20190525:1730,0,0,0,0,0,27.76,2.69,0
20190525:1830,0,0,0,0,0,26.71,2.55,0
20190525:1930,0,0,0,0,0,25.95,2.9,0
20190525:2030,0,0,0,0,0,25.39,3.1,0
20190525:2130,0,0,0,0,0,24.95,3.31,0
20190525:2230,0,0,0,0,0,24.57,3.45,0
20190525:2330,0,0,0,0,-5.55,24.14,3.38,0
20190526:0030,70,0,30.09,0.42,6.34,23.67,3.24,0
20190526:0130,448,84.75,66.91,3.05,18.72,24.34,2.97,0
20190526:0230,1371.3,265.56,98.73,5.72,31.46,26.96,3.17,0
20190526:0330,2239.25,456.6,122.41,8.24,44.4,29.99,3.45,0
20190526:0430,2905.5,620.94,139.1,10.31,57.35,32.55,4.28,0
20190526:0530,3326.4,736.65,149.51,11.73,69.93,34.16,4.34,0
20190526:0630,3490.1,790.14,154.2,12.39,80,35.46,4.07,0
20190526:0730,3396.3,767.1,158.36,12.16,77.31,36.78,3.86,0
20190526:0830,3115.7,699.84,143.86,11.24,65.8,37.69,4.07,0
20190526:0930,2527.05,529.03,147.99,9.28,53.02,38.19,4.28,0
20190526:1030,1869.55,393.36,110.35,7.35,40.05,38.34,4.34,0
20190526:1130,939.35,184.78,90.71,4.54,27.16,38.19,4.69,0
20190526:1230,193.2,31.55,51.84,1.94,14.52,37.53,4.76,0
20190526:1330,15.95,0,13.34,0.19,2.3,36.1,3.93,0
20190526:1430,0,0,0,0,0,33.92,3.86,0
20190526:1530,0,0,0,0,0,32.39,4,0
20190526:1630,0,0,0,0,0,31.04,3.86,0
20190526:1730,0,0,0,0,0,29.86,3.66,0
20190526:1830,0,0,0,0,0,28.8,3.31,0
20190526:1930,0,0,0,0,0,28.01,2.69,0
20190526:2030,0,0,0,0,0,27.19,2.62,0
20190526:2130,0,0,0,0,0,26.44,2.76,0
20190526:2230,0,0,0,0,0,25.94,2.83,0
20190526:2330,0,0,0,0,-5.47,25.48,2.83,0
20190527:0030,64.95,0,28.74,0.4,6.4,24.85,2.76,0
20190527:0130,440.2,84.06,66.37,3.03,18.77,25.54,2.34,0
20190527:0230,1347.8,264.67,97.85,5.71,31.51,28.76,2.55,0
20190527:0330,2203.6,456.58,121.36,8.24,44.44,32.32,3.1,0
20190527:0430,2861.6,622.6,138.41,10.34,57.4,35.34,4,0
20190527:0530,3310.2,740.92,149.35,11.81,69.99,37.25,5.1,0
20190527:0630,3454.05,777.43,159.44,12.3,80.14,38.35,5.31,0
20190527:0730,3430.7,790,151.34,12.39,77.45,39.46,4.69,0
20190527:0830,3151.75,714.92,144.79,11.48,65.9,40.1,4.83,0
20190527:0930,2606.55,571.26,132.2,9.68,53.11,40.4,5.03,0
20190527:1030,1877.8,394.19,114.7,7.44,40.13,40.3,5.24,0
20190527:1130,978.9,199.22,89.34,4.8,27.25,39.86,5.38,0
20190527:1230,204.2,37.26,52.46,2.18,14.62,38.97,4.97,0
20190527:1330,17.9,0,14.15,0.2,2.41,37.22,3.79,0
20190527:1430,0,0,0,0,0,34.31,3.45,0
20190527:1530,0,0,0,0,0,32.39,3.45,0
20190527:1630,0,0,0,0,0,31.06,3.38,0
20190527:1730,0,0,0,0,0,29.93,3.24,0
20190527:1830,0,0,0,0,0,28.83,3.1,0
20190527:1930,0,0,0,0,0,27.84,3.1,0
20190527:2030,0,0,0,0,0,26.86,3.03,0
20190527:2130,0,0,0,0,0,25.96,3.1,0
20190527:2230,0,0,0,0,0,25.31,3.17,0
20190527:2330,0,0,0,0,-5.39,24.86,3.31,0
20190528:0030,74.7,0,31.53,0.44,6.46,24.43,3.31,0
20190528:0130,458.75,88.39,67.69,3.18,18.82,25.29,2.97,0
20190528:0230,1395.95,274.75,99.83,5.92,31.55,28.67,2.83,0
20190528:0330,2256.8,469.48,123.62,8.48,44.48,32.72,3.24,0
20190528:0430,2900.45,635.51,140.69,10.57,57.43,36.02,3.86,0
20190528:0530,3347.85,752.05,151.61,12,70.05,38.22,5.45,0
20190528:0630,3532.55,806.48,156.44,12.67,80.28,39.36,5.66,0
20190528:0730,3447.15,792.69,155.22,12.49,77.58,40.21,4.97,0
20190528:0830,3159.1,718.78,145.02,11.55,66,40.82,5.03,0
20190528:0930,2621.15,575.34,134.52,9.79,53.19,41.14,5.17,0
20190528:1030,1884.9,398.18,114.2,7.51,40.22,41.07,5.45,0
20190528:1130,980.25,200.96,89,4.84,27.34,40.64,5.52,0
20190528:1230,208,36.79,53.89,2.19,14.71,39.73,5.1,0
20190528:1330,18.75,0,14.51,0.2,2.52,37.89,3.72,0
20190528:1430,0,0,0,0,0,34.98,3.52,0
20190528:1530,0,0,0,0,0,33.11,3.45,0
20190528:1630,0,0,0,0,0,31.77,3.24,0
20190528:1730,0,0,0,0,0,30.56,3.17,0
20190528:1830,0,0,0,0,0,29.5,3.1,0
20190528:1930,0,0,0,0,0,28.67,2.97,0
20190528:2030,0,0,0,0,0,28.03,3.1,0
20190528:2130,0,0,0,0,0,27.46,3.03,0
20190528:2230,0,0,0,0,0,26.92,3.03,0
20190528:2330,0,0,0,0,-5.32,26.37,2.97,0
20190529:0030,72.1,0,30.94,0.43,6.51,25.78,2.9,0
20190529:0130,443.05,84.9,67.16,3.1,18.86,26.54,2.62,0
20190529:0230,1353.3,267.24,99.11,5.8,31.58,30.01,2.55,0
20190529:0330,2198.65,460.41,122.97,8.35,44.51,34.08,2.83,0
20190529:0430,2836.65,627.06,140.3,10.46,57.47,37.41,3.38,0
20190529:0530,3264.7,744.76,151.39,11.92,70.1,39.64,4.28,0
20190529:0630,3426.2,789.09,155.79,12.44,80.41,40.97,5.03,0
20190529:0730,3274.2,742.09,164.99,11.96,77.72,41.7,4.55,0
20190529:0830,2991.65,662.53,157.62,10.97,66.09,42.15,5.1,0
20190529:0930,2396.05,495.6,154.66,8.95,53.28,42.38,5.38,0
20190529:1030,1665.85,311.18,144.6,6.61,40.3,42.18,5.52,0
20190529:1130,780.85,105.24,126.5,3.62,27.43,41.9,5.59,0
20190529:1230,257.4,12.47,79.36,1.57,14.81,40.96,5.24,0
20190529:1330,19.9,0,15.05,0.21,2.62,39.52,4.14,0
20190529:1430,0,0,0,0,0,37.22,4.48,0
20190529:1530,0,0,0,0,0,35.65,4.07,0
20190529:1630,0,0,0,0,0,34.14,3.31,0
20190529:1730,0,0,0,0,0,32.82,3.1,0
20190529:1830,0,0,0,0,0,31.69,3.1,0
20190529:1930,0,0,0,0,0,29.72,2.97,0
20190529:2030,0,0,0,0,0,28.89,2.97,0
20190529:2130,0,0,0,0,0,28.22,2.9,0
20190529:2230,0,0,0,0,0,27.63,2.83,0
20190529:2330,0,0,0,0,-5.25,27.01,2.62,0
20190530:0030,72.6,0,31.17,0.44,6.56,26.34,2.21,0
20190530:0130,440.5,84.15,67.28,3.09,18.9,26.28,1.52,0
20190530:0230,1335.9,264.62,99.27,5.77,31.61,30.3,1.79,0
20190530:0330,2164.7,455.4,123.12,8.3,44.53,34.32,2.14,0
20190530:0430,2770.1,619.59,140.34,10.38,57.5,37.87,2.28,0
20190530:0530,3145.95,734.12,152.31,11.81,70.15,40.6,2.41,0
20190530:0630,3311.5,782.03,158.28,12.4,80.53,42.25,2.97,0
20190530:0730,3242.4,766.28,153.68,12.15,77.85,43.31,3.24,0
20190530:0830,3008.9,693.41,149.52,11.29,66.18,43.96,3.93,0
20190530:0930,2402.1,506.69,155.02,9.12,53.36,44.22,4.62,0
20190530:1030,1681.65,329.88,135.38,6.78,40.39,43.99,4.97,0
20190530:1130,807.35,132.08,110.6,3.89,27.52,43.5,5.17,0
20190530:1230,254.1,10.92,79.86,1.52,14.91,42.63,4.48,0
20190530:1330,22.5,0,16.08,0.22,2.73,40.44,3.1,0
20190530:1430,0,0,0,0,0,37.44,3.38,0
20190530:1530,0,0,0,0,0,35.49,3.66,0
20190530:1630,0,0,0,0,0,34.27,3.72,0
20190530:1730,0,0,0,0,0,33.26,3.52,0
20190530:1830,0,0,0,0,0,32.28,3.24,0
20190530:1930,0,0,0,0,0,30.85,3.1,0
20190530:2030,0,0,0,0,0,29.84,3.03,0
20190530:2130,0,0,0,0,0,28.85,2.9,0
20190530:2230,0,0,0,0,0,28.05,2.9,0
20190530:2330,0,0,0,0,-5.19,27.39,2.62,0
20190531:0030,73.7,0,31.48,0.44,6.61,26.29,2.28,0
20190531:0130,439.05,83.47,67.52,3.09,18.94,26.59,2.28,0
20190531:0230,1331.65,263.4,99.52,5.77,31.64,30.07,1.59,0
20190531:0330,2126.6,454.25,123.51,8.3,44.56,33.95,0.62,0
20190531:0430,2720.3,618.66,140.88,10.39,57.52,37.17,0.9,0
20190531:0530,3133.05,734.6,151.93,11.82,70.19,39.53,1.79,0
20190531:0630,3257.5,783.96,156.42,12.42,80.64,41.12,1.59,0
20190531:0730,3121.55,767.81,153.85,12.19,77.97,42.56,0.76,0
20190531:0830,2906.95,693.05,148.53,11.29,66.27,43.44,1.31,0
20190531:0930,2318.35,507.13,143.57,8.99,53.44,44.05,2.21,0
20190531:1030,1772.9,373.82,122.84,7.29,40.47,44.18,2.9,0
20190531:1130,890,160.63,107.86,4.39,27.6,43.94,3.31,0
20190531:1230,212.4,34.74,57.02,2.15,15,43.07,3.03,0
20190531:1330,20.15,0,15.23,0.21,2.83,41.08,2.28,0
20190531:1430,0,0,0,0,0,38.2,2.76,0
20190531:1530,0,0,0,0,0,35.62,3.03,0
20190531:1630,0,0,0,0,0,34.11,3.1,0
20190531:1730,0,0,0,0,0,32.94,2.9,0
20190531:1830,0,0,0,0,0,31.89,2.48,0
20190531:1930,0,0,0,0,0,30.23,2.14,0
20190531:2030,0,0,0,0,0,29.09,1.86,0
20190531:2130,0,0,0,0,0,28.47,1.31,0
20190531:2230,0,0,0,0,0,26.52,2.28,0
20190531:2330,0,0,0,0,-5.13,26.08,2.9,0
20190601:0030,73.45,0,31.35,0.44,6.65,25.89,3.1,0
20190601:0130,429.35,80.3,67.45,3.02,18.97,26.88,3.1,0
20190601:0230,1311.95,253.9,99.38,5.62,31.66,29.67,3.72,0
20190601:0330,2158.3,438,123.48,8.08,44.58,32.66,4.55,0
20190601:0430,2797,597.25,140.97,10.11,57.54,35.48,4.83,0
20190601:0530,3195.85,713,150.5,11.53,70.23,37.88,4.62,0
20190601:0630,3287.95,741.54,165.59,11.98,80.74,39.86,4,0
20190601:0730,3257.95,749.86,155.03,11.98,78.09,40.83,3.79,0
20190601:0830,2943.95,673.82,148.91,11.05,66.36,41.77,2.9,0
20190601:0930,2375.1,513.46,150.84,9.18,53.53,42.27,1.86,0
20190601:1030,1515.1,273.85,153.24,6.19,40.55,42.43,0.97,0
20190601:1130,728.45,114.88,106.82,3.54,27.69,42.23,0.97,0
20190601:1230,192.9,19.43,58.45,1.55,15.09,41.39,4.55,0
20190601:1330,15.4,0,13.25,0.18,2.93,39.16,3.31,0
20190601:1430,0,0,0,0,0,37.03,1.93,0
20190601:1530,0,0,0,0,0,35.37,1.59,0
20190601:1630,0,0,0,0,0,33.47,1.03,0
20190601:1730,0,0,0,0,0,32.39,0.97,0
20190601:1830,0,0,0,0,0,29.54,1.86,0
20190601:1930,0,0,0,0,0,28.96,2.97,0
20190601:2030,0,0,0,0,0,28.68,3.17,0
20190601:2130,0,0,0,0,0,28.27,3.24,0
20190601:2230,0,0,0,0,0,27.9,3.38,0
20190601:2330,0,0,0,0,-5.08,27.62,3.66,0
20190602:0030,71.75,0,31.03,0.43,6.68,27.5,3.72,0
20190602:0130,414.2,75.56,67.84,2.91,18.99,28.44,3.79,0
20190602:0230,1271.7,242.82,100.13,5.45,31.68,30.56,4.9,0
20190602:0330,2115.65,422.69,124.6,7.88,44.59,32.75,5.72,0
20190602:0430,2763.85,579.43,142.23,9.89,57.56,34.89,5.86,0
20190602:0530,3180.35,695.26,152.08,11.32,70.26,36.83,5.52,0
20190602:0630,3310.75,739.13,158.65,11.88,80.84,38.42,4.9,0
20190602:0730,3073.65,670.4,173.64,11.17,78.21,39.7,3.72,0
20190602:0830,2798.65,602.11,170.61,10.37,66.45,40.54,2.97,0
20190602:0930,2287.4,488.79,142.29,8.73,53.61,41.13,2.21,0
20190602:1030,1667.6,350.52,116.15,6.87,40.63,41.25,1.1,0
20190602:1130,806.8,160.04,85.26,4.07,27.78,41.35,0.97,0
20190602:1230,189.55,24.42,55.09,1.7,15.18,41.15,2.07,0
20190602:1330,16.8,0,13.79,0.19,3.03,38.68,3.59,0
20190602:1430,0,0,0,0,0,36.56,3.45,0
20190602:1530,0,0,0,0,0,35.32,2.9,0
20190602:1630,0,0,0,0,0,33.8,2.48,0
20190602:1730,0,0,0,0,0,32.06,2.48,0
20190602:1830,0,0,0,0,0,30.72,2.48,0
20190602:1930,0,0,0,0,0,30.65,2.69,0
20190602:2030,0,0,0,0,0,29.73,3.38,0
20190602:2130,0,0,0,0,0,28.74,3.86,0
20190602:2230,0,0,0,0,0,27.89,4.14,0
20190602:2330,0,0,0,0,-5.03,27.3,4.34,0
20190603:0030,73.05,0,31.35,0.44,6.71,27.01,4.34,0
20190603:0130,411.45,70.12,70.58,2.82,19.01,27.7,4.48,0
20190603:0230,1258.5,233.24,103.07,5.34,31.7,29.19,6,0
20190603:0330,2092.4,406.87,128.44,7.71,44.6,30.97,6.28,0
20190603:0430,2741.1,561.97,145.07,9.7,57.57,32.85,6.07,0
20190603:0530,3155.8,674.5,155.66,11.1,70.28,34.69,5.59,0
20190603:0630,3315.55,728.44,160.71,11.77,80.93,36.41,4.9,0
20190603:0730,3193.15,694.92,166.02,11.41,78.32,38.5,5.24,0
20190603:0830,2872.55,614.47,162.44,10.44,66.54,39.53,4.62,0
20190603:0930,2270.05,461.65,151.36,8.48,53.68,40.07,3.93,0
20190603:1030,1600.7,316.34,122.48,6.44,40.71,39.8,2.62,0
20190603:1130,731.05,110.76,107.28,3.47,27.86,38.52,1.24,0
20190603:1230,203.65,19,60.75,1.57,15.27,38.12,1.59,0
20190603:1330,13.8,0,12.53,0.17,3.13,37.34,1.24,0
20190603:1430,0,0,0,0,0,35.91,1.72,0
20190603:1530,0,0,0,0,0,34.2,3.52,0
20190603:1630,0,0,0,0,0,33.18,4.07,0
20190603:1730,0,0,0,0,0,32.12,3.45,0
20190603:1830,0,0,0,0,0,31.22,2.97,0
20190603:1930,0,0,0,0,0,30.9,3.38,0
20190603:2030,0,0,0,0,0,30.35,3.17,0
20190603:2130,0,0,0,0,0,29.73,3.1,0
20190603:2230,0,0,0,0,0,29.17,3.24,0
20190603:2330,0,0,0,0,-4.99,28.67,3.59,0
20190604:0030,71.45,0,31.03,0.43,6.74,28.3,3.86,0
20190604:0130,403.1,70.68,68.84,2.82,19.03,28.78,4,0
20190604:0230,1239.6,232.34,101.69,5.32,31.71,30.32,5.24,0
20190604:0330,2077,409.39,126.48,7.73,44.61,32.21,5.72,0
20190604:0430,2731.2,565.52,144.41,9.75,57.58,34.2,5.93,0
20190604:0530,3150.95,677.82,155.31,11.16,70.31,36.02,5.86,0
20190604:0630,3312.45,729.89,159.82,11.79,81.02,37.59,5.45,0
20190604:0730,3221.6,727.66,154.55,11.72,78.43,38.47,3.72,0
20190604:0830,2890.55,637.44,156.5,10.69,66.62,39.49,3.1,0
20190604:0930,2193,438.52,161.39,8.3,53.76,40.09,2.34,0
20190604:1030,1264.05,208.67,141.23,5.05,40.79,39.29,1.38,0
20190604:1130,842.55,151.9,99.16,4.13,27.94,38.92,1.17,0
20190604:1230,207.85,28.41,57.34,1.89,15.36,38.98,3.24,0
20190604:1330,18.9,0,14.55,0.2,3.22,37.57,3.52,0
20190604:1430,0,0,0,0,0,35.73,2.69,0
20190604:1530,0,0,0,0,0,34.77,0.34,0
20190604:1630,0,0,0,0,0,33.29,2,0
20190604:1730,0,0,0,0,0,32.09,1.59,0
20190604:1830,0,0,0,0,0,31.91,0.34,0
20190604:1930,0,0,0,0,0,29.23,1.45,0
20190604:2030,0,0,0,0,0,28.4,1.59,0
20190604:2130,0,0,0,0,0,27.56,1.93,0
20190604:2230,0,0,0,0,0,26.8,1.59,0
20190604:2330,0,0,0,0,-4.95,26.28,1.52,0
20190605:0030,74.3,0,31.62,0.44,6.76,25.92,1.93,0
20190605:0130,412.5,73.88,68.55,2.91,19.04,26.82,1.38,0
20190605:0230,1252.25,244.8,99.57,5.52,31.71,31.02,1.31,0
20190605:0330,2050.3,422.63,125.56,7.93,44.61,34.33,1.93,0
20190605:0430,2657.95,577.56,141.62,9.89,57.58,36.7,2.55,0
20190605:0530,3061.6,695.63,152.83,11.38,70.32,38.39,2.41,0
20190605:0630,3182.5,746.89,156.67,11.99,81.1,39.77,1.79,0
20190605:0730,3038.2,708.71,166.37,11.62,78.54,40.22,0.97,0
20190605:0830,2768.2,642.67,155.24,10.75,66.7,41.27,0.62,0
20190605:0930,2312.4,505.16,144.26,9.02,53.84,42.03,1.31,0
20190605:1030,1700.55,353.46,120.61,7,40.87,42.4,2.21,0
20190605:1130,763.65,119.23,110.47,3.68,28.02,42.34,3.17,0
20190605:1230,200.2,12.52,63.64,1.35,15.45,40.99,3.86,0
20190605:1330,22.25,0,15.9,0.22,3.31,38.75,1.59,0
20190605:1430,0,0,0,0,0,36.86,0.69,0
20190605:1530,0,0,0,0,0,35.52,0.07,0
20190605:1630,0,0,0,0,0,35.1,0.21,0
20190605:1730,0,0,0,0,0,34.41,0.62,0
20190605:1830,0,0,0,0,0,30.56,2.07,0
20190605:1930,0,0,0,0,0,29.19,2.14,0
20190605:2030,0,0,0,0,0,28.38,2.21,0
20190605:2130,0,0,0,0,0,27.94,2.62,0
20190605:2230,0,0,0,0,0,27.55,2.48,0
20190605:2330,0,0,0,0,-4.92,27.23,2.34,0
20190606:0030,77.05,0,32.52,0.45,6.78,26.74,2.21,0
20190606:0130,419.55,70.53,72.98,2.9,19.05,27.23,1.24,0
20190606:0230,1206.8,222.12,110.23,5.29,31.72,31.09,1.1,0
20190606:0330,1900.7,357.33,145.64,7.23,44.61,34.23,2.97,0
20190606:0430,2304.95,443.23,165.42,8.34,57.58,35.98,4,0
20190606:0530,2914.4,609.03,178,10.54,70.33,37.48,3.72,0
20190606:0630,3092.1,655.08,197.12,11.29,81.16,39.49,3.45,0
20190606:0730,2666.35,505.51,246.55,9.95,78.64,39.9,1.17,0
20190606:0830,2164,331.42,268.66,8.02,66.78,39.57,1.17,0
20190606:0930,1801.05,330.71,159.84,6.77,53.91,38.82,1.45,0
20190606:1030,1536.9,296.34,120.8,6.13,40.94,38.23,2.97,0
20190606:1130,764.9,131.32,95.68,3.7,28.1,38.15,2.55,0
20190606:1230,210.7,28.5,57.56,1.9,15.53,37.52,2.14,0
20190606:1330,17.4,0,13.92,0.19,3.4,36.55,2.21,0
20190606:1430,0,0,0,0,0,34.65,1.93,0
20190606:1530,0,0,0,0,0,32.78,2,0
20190606:1630,0,0,0,0,0,31.13,2.14,0
20190606:1730,0,0,0,0,0,29.79,1.79,0
20190606:1830,0,0,0,0,0,28.45,1.03,0
20190606:1930,0,0,0,0,0,27.39,1.79,0
20190606:2030,0,0,0,0,0,26.28,1.72,0
20190606:2130,0,0,0,0,0,27.64,0.69,0
20190606:2230,0,0,0,0,0,27.25,0.76,0
20190606:2330,0,0,0,0,-4.89,24.28,1.79,0
20190607:0030,77.3,0,32.25,0.45,6.8,24.02,2.28,0
20190607:0130,416.6,73.73,69.01,2.94,19.06,25.43,2.28,0
20190607:0230,1267.8,239.71,101.91,5.48,31.72,28.53,2.83,0
20190607:0330,2096.15,419.14,126.79,7.91,44.61,31.26,3.24,0
20190607:0430,2719.85,574.7,145.69,9.93,57.58,33.59,3.1,0
20190607:0530,3094.95,686.63,157.09,11.33,70.34,35.48,2.48,0
20190607:0630,3216.9,741.15,161.2,11.99,81.23,37,1.66,0
20190607:0730,3119.45,722.53,163.39,11.79,78.74,37.24,0.97,0
20190607:0830,2755.6,609.12,175.43,10.57,66.86,38.35,0.41,0
20190607:0930,2375.5,512.48,145.64,9.16,53.99,39.03,1.24,0
20190607:1030,1710.1,342.31,127.9,6.94,41.02,39.63,2.14,0
20190607:1130,766.3,128.98,99.38,3.71,28.18,39.53,2.83,0
20190607:1230,239.85,16.83,71.58,1.63,15.61,38.8,2.97,0
20190607:1330,24.7,0,16.71,0.23,3.49,37.12,2.28,0
20190607:1430,0,0,0,0,0,35.22,2.48,0
20190607:1530,0,0,0,0,0,33.37,2.76,0
20190607:1630,0,0,0,0,0,31.86,2.9,0
20190607:1730,0,0,0,0,0,30.66,2.97,0
20190607:1830,0,0,0,0,0,29.8,3.03,0
20190607:1930,0,0,0,0,0,28.55,2.34,0
20190607:2030,0,0,0,0,0,27.77,2.21,0
20190607:2130,0,0,0,0,0,26.8,1.93,0
20190607:2230,0,0,0,0,0,25.91,1.31,0
20190607:2330,0,0,0,0,-4.86,27.05,0.34,0
20190608:0030,77.1,0,32.52,0.45,6.81,26.46,0.62,0
20190608:0130,417.2,75.87,68.51,3,19.06,26.03,0.69,0
20190608:0230,1269.05,246.78,100.84,5.6,31.71,28.94,0.55,0
20190608:0330,2069.35,430.03,125.38,8.07,44.6,32.26,0.76,0
20190608:0430,2660.7,590.03,142.73,10.11,57.57,35,0.83,0
20190608:0530,3002.9,703.39,154.23,11.53,70.34,37.1,0.48,0
20190608:0630,3109.95,753.03,157.23,12.11,81.28,38.63,0.21,0
20190608:0730,3079.4,726.63,167.75,11.91,78.83,39.68,0.62,0
20190608:0830,2876.6,637.09,175.21,10.96,66.94,40.7,1.72,0
20190608:0930,2350.65,472.74,170.92,8.93,54.06,41.48,3.45,0
20190608:1030,1403.65,206.13,178.19,5.53,41.09,41.69,6,0
20190608:1130,725.9,60.81,150.93,3.16,28.25,39.94,5.66,0
20190608:1230,231.1,32.46,61.24,2.1,15.69,38.97,4.83,0
20190608:1330,29.1,0,18.32,0.26,3.57,37.47,4.21,0
20190608:1430,0,0,0,0,0,35.13,3.72,0
20190608:1530,0,0,0,0,0,33.39,3.52,0
20190608:1630,0,0,0,0,0,32.1,3.45,0
20190608:1730,0,0,0,0,0,31.07,3.24,0
20190608:1830,0,0,0,0,0,30.1,2.9,0
20190608:1930,0,0,0,0,0,29.4,2.69,0
20190608:2030,0,0,0,0,0,28.2,2.69,0
20190608:2130,0,0,0,0,0,27.21,2.62,0
20190608:2230,0,0,0,0,0,26.43,2.55,0
20190608:2330,0,0,0,0,-4.84,25.76,2.34,0
20190609:0030,77.9,0,32.56,0.45,6.81,25.16,2.07,0
20190609:0130,418.8,75.69,68.72,3.01,19.06,25.4,1.1,0
20190609:0230,1269.3,247.18,101.34,5.63,31.71,29.48,0.62,0
20190609:0330,2078.25,431.51,126,8.11,44.59,32.98,1.1,0
20190609:0430,2687.05,591.47,143.88,10.16,57.56,35.89,1.52,0
20190609:0530,3056.2,704.98,155.45,11.58,70.34,38.12,1.45,0
20190609:0630,3140.35,741.77,167.88,12.11,81.33,39.91,0.9,0
20190609:0730,3045.1,733.58,157.41,11.88,78.92,40.93,0.55,0
20190609:0830,2766.85,631.91,156.61,10.66,67.01,41.92,1.31,0
20190609:0930,2313.05,481.26,156.53,8.87,54.13,42.82,3.31,0
20190609:1030,1580.6,282.67,153,6.37,41.16,43.04,4.9,0
20190609:1130,734.7,78.29,139.77,3.33,28.33,42.69,5.52,0
20190609:1230,280.65,18.38,82.52,1.85,15.77,41.21,3.79,0
20190609:1330,28.75,0,18.32,0.26,3.66,39.5,3.31,0
20190609:1430,0,0,0,0,0,36.99,3.24,0
20190609:1530,0,0,0,0,0,35.13,3.24,0
20190609:1630,0,0,0,0,0,33.82,3.24,0
20190609:1730,0,0,0,0,0,32.75,3.24,0
20190609:1830,0,0,0,0,0,31.82,3.1,0
20190609:1930,0,0,0,0,0,31.26,3.24,0
20190609:2030,0,0,0,0,0,30.39,3.03,0
20190609:2130,0,0,0,0,0,29.5,2.69,0
20190609:2230,0,0,0,0,0,28.69,2.48,0
20190609:2330,0,0,0,0,-4.83,27.78,2.07,0
20190610:0030,78.3,0,32.88,0.46,6.81,26.72,1.93,0
20190610:0130,414.8,75.1,68.84,3.01,19.05,26.88,1.93,0
20190610:0230,1262.35,245.65,101.33,5.61,31.7,30.66,1.31,0
20190610:0330,2044.4,428.88,126.04,8.08,44.58,34.25,0.69,0
20190610:0430,2612.45,588.33,143.91,10.13,57.55,37.1,0.48,0
20190610:0530,2987.9,701.76,155.53,11.55,70.34,39.18,0.76,0
20190610:0630,3106.2,751.16,160.21,12.14,81.37,40.75,0.55,0
20190610:0730,3081.1,741.86,159.03,12.02,79.01,41.7,0.83,0
20190610:0830,2812.8,670.46,151.16,11.12,67.08,42.46,0.48,0
20190610:0930,2413.15,539.38,139.48,9.48,54.2,43.18,1.86,0
20190610:1030,1752.25,361.55,127.82,7.25,41.23,43.49,2.76,0
20190610:1130,940.05,188.26,94.47,4.76,28.4,43.41,3.31,0
20190610:1230,233.6,33.43,62.68,2.16,15.84,42.86,3.1,0
20190610:1330,27.75,0,18.05,0.25,3.74,40.9,2.41,0
20190610:1430,0,0,0,0,0,38.69,2.62,0
20190610:1530,0,0,0,0,0,36.86,2.83,0
20190610:1630,0,0,0,0,0,35.57,3.17,0
20190610:1730,0,0,0,0,0,34.71,3.38,0
20190610:1830,0,0,0,0,0,33.83,3.38,0
20190610:1930,0,0,0,0,0,32.26,2.28,0
20190610:2030,0,0,0,0,0,31.31,1.79,0
20190610:2130,0,0,0,0,0,30.44,1.31,0
20190610:2230,0,0,0,0,0,31.86,0.55,0
20190610:2330,0,0,0,0,-4.82,31.19,0.62,0
20190611:0030,76.4,0,32.38,0.45,6.81,27.28,2.62,0
20190611:0130,397,68.21,69.75,2.84,19.04,28.09,2.55,0
20190611:0230,1165.5,198.05,121.09,5.06,31.68,31.28,2.48,0
20190611:0330,2014.65,397.15,135.73,7.74,44.56,34.02,3.03,0
20190611:0430,2613.35,545.45,157.56,9.71,57.53,36.71,3.03,0
20190611:0530,3066.85,699.7,152.36,11.49,70.33,38.78,2.41,0
20190611:0630,3138.7,723.39,172.11,11.93,81.41,40.59,1.72,0
20190611:0730,2986.05,687.53,183.88,11.62,79.09,41.82,0.76,0
20190611:0830,2672,603,184.8,10.64,67.15,42.84,0,0
20190611:0930,2311.45,500.94,160.6,9.22,54.26,43.58,0.76,0
20190611:1030,1596.2,321.66,130.85,6.68,41.3,43.85,1.1,0
20190611:1130,712.5,119.41,99.78,3.55,28.47,43.37,0.28,0
